N,Approx_Area_Wide,Approx_Area_Narrow,Error_Wide,Error_Narrow
100,0.9449967141530112,0.9437923146289748,0.05259016972061662,0.07492698475650275
1100,0.9444583117446468,0.9444365853315714,0.00441379093205111,0.006714099357186833
2100,0.9446413372263144,0.9444626067806251,0.014964237831061438,0.0039590491662153315
3100,0.9447735442373559,0.9444279533743761,0.02896180384922468,0.007628017535614433
4100,0.9444634313866106,0.9444874057018351,0.0038717430798739464,0.0013334354859623173
5100,0.9444672142682249,0.9445282892183866,0.003471226233469573,0.0029951528201801227
6100,0.9447021974816476,0.9446207506788822,0.0214078858282293,0.01278461396317369
7100,0.944591077746042,0.9445103592873099,0.009642958818634296,0.0010968011974439292
8100,0.9444478361793406,0.9445143083550401,0.005522903193162866,0.0015149131858260287
9100,0.9445568757466702,0.9444960979737673,0.006021783660162777,0.0004131314169065923
10100,0.944453888216105,0.9444045375640636,0.004882136992590768,0.010107192793688586
11100,0.9444557948880539,0.944498741707156,0.004680265955123177,0.0001332231703579443
12100,0.9445219965701424,0.9445027377368155,0.00232891160850676,0.0002898609651108949
13100,0.9443328359288713,0.9446076072313109,0.01769868407927067,0.011393036666052823
14100,0.9443547357133667,0.9444919001421985,0.015380019760011273,0.0008575815565357489
15100,0.9444542416898193,0.9445122697873483,0.004844712565454875,0.001299077538194955
16100,0.9444201777254302,0.9444986321646538,0.008451273114856378,0.00014482110600433967
17100,0.9445240310941414,0.9444553144783902,0.0025443191256110972,0.004731129868698271
18100,0.9444325071020013,0.9445424726754114,0.007145886500654075,0.004496842288126371
19100,0.9443978092906753,0.9445272039823667,0.010819556307539658,0.0028802522357505196
20100,0.9446033788933548,0.9445278975457926,0.010945356628350065,0.0029536840436820274
21100,0.944484456918477,0.9444686975928931,0.0016456412411817681,0.0033141775655812136
22100,0.9445045424386121,0.944547181078427,0.0004809357980034806,0.004995349754043288
23100,0.944406258451599,0.9444538824858577,0.0099249918899976,0.004882743688967335
24100,0.94446493322607,0.9445189013942861,0.003712734137645229,0.0020012063828548287
25100,0.9445070013717802,0.9445691301665623,0.0007412781133111908,0.007319234151645561
26100,0.9444287552861337,0.9444693436703547,0.007543114226185838,0.003245773387535555
27100,0.944522822029316,0.9444827999313871,0.0024163080271072,0.0018210766133344258
28100,0.9444641688997775,0.9445029723510238,0.0037936580436779945,0.000314701008338337
29100,0.9444829006095576,0.9444852428672297,0.001810417198768187,0.0015624280328561824
30100,0.9444653182074442,0.9444553106228625,0.0036719738015706877,0.004731538077028065
31100,0.9446050330597596,0.9445019439248085,0.01112049335729151,0.00020581522588208447
32100,0.9444992466583776,0.9444703539942934,7.976089173287722e-05,0.0031388042039864113
33100,0.9444418629494711,0.9445130154971062,0.0061553256250850225,0.0013780303976913342
34100,0.944544543304325,0.9444751051931227,0.0047160724536810614,0.0026357656831429046
35100,0.9444348361867485,0.9445413646891324,0.006899292032980508,0.0043795329944315495
36100,0.9445109928207898,0.9444793880712543,0.0011638772673114813,0.002182311143006371
37100,0.9443982589965112,0.9444916396995993,0.0107719431962741,0.0008851562097135911
38100,0.9444319549674262,0.9445208388747951,0.007204344369915202,0.002206339311285624
39100,0.9445099557006236,0.9444688762579679,0.0010540710030243622,0.0032952611997955203
40100,0.9445368772611977,0.9445056794035421,0.0039044215137872774,0.0006013132389756291
41100,0.9445084529739362,0.9445322382985814,0.0008949681245257893,0.0034132661282524172
42100,0.9444943636475931,0.9444608280304254,0.0005967551516053483,0.004147376344583567
43100,0.9444854963453284,0.9445044467500134,0.0015355907540067506,0.0004708046599715758
44100,0.9444295941909349,0.9445061876855774,0.007454294236648367,0.0006551281712401788
45100,0.9444661038600671,0.9445184073006044,0.0035887919463077106,0.0019488936584889677
46100,0.9444785459135601,0.944471194730941,0.0022714755362564978,0.003049790265645095
47100,0.9445487096210076,0.9444695782854693,0.005157185919275683,0.0032209332483552223
48100,0.9445156676453914,0.9445118992434532,0.0016588295808791925,0.001259845786473208
49100,0.9444204351116056,0.9445067013653401,0.00842402206399635,0.000709514593974522
50100,0.944514479003948,0.9445055955976099,0.001532980830917974,0.0005924401916284691
51100,0.9444829649628533,0.9445076629832354,0.0018036037211935632,0.0008113269703971812
52100,0.94447034350872,0.9444851037880165,0.0031399143758667238,0.001577153201002943
53100,0.9445265444899723,0.9445050394759841,0.0028104277366121956,0.0005335601888904132
54100,0.944544326131609,0.944506300084888,0.004693079048066162,0.0006670285746956228
55100,0.9445396738669322,0.9444847838032189,0.004200515291916889,0.0016110319514167823
56100,0.9444645682083981,0.9445393865308015,0.003751380794274784,0.004170093255848434
57100,0.9444870598648099,0.944509914645294,0.0013700513700533286,0.001049724223820505
58100,0.944513743122892,0.9444752882014559,0.001455068596298611,0.0026163894699979145
59100,0.9445401285644358,0.9445135035033527,0.004248656901620332,0.0014296986080167982
60100,0.9444804540751461,0.9444801209526952,0.0020694467817755275,0.0021047164960113444
61100,0.9444924890417626,0.9445159210173787,0.0007952311527121963,0.001685655625059174
62100,0.9444556043067852,0.9445232464195267,0.004700443961333378,0.002461240818069661
63100,0.9444523797661915,0.9444836645763802,0.005041845824092543,0.001729531352015283
64100,0.9445320928404606,0.9445190255346767,0.003397865586085081,0.0020143498863629066
65100,0.9445531552376146,0.944508089080027,0.005627870578572959,0.0008564404475414992
66100,0.9444971991308865,0.9445159872172209,0.0002965451681872306,0.0016926646078186877
67100,0.9445387409578345,0.9445366124404672,0.004101742491743301,0.003876383321032734
68100,0.9445138579225903,0.9444952983534817,0.0014672231434985138,0.0004977921141699007
69100,0.9444754584879348,0.9444856632624877,0.002598360197481482,0.001517918211993346
70100,0.9445136497236354,0.9444832017518351,0.0014451798449315308,0.0017785334213782523
71100,0.9445576808777371,0.9444847023619822,0.006107027817581164,0.0016196546339624087
72100,0.9444986657685812,0.9444985642911455,0.00014126325238671464,0.00015200729004438303
73100,0.9445578704360881,0.9445063089807962,0.006127097521235571,0.0006679704389870231
74100,0.9444037612588887,0.9445050822452465,0.010189384977375298,0.0005380884326664784
75100,0.9445299916483426,0.944515092172726,0.003175399506893469,0.0015979007650602968
76100,0.9445031554537584,0.9445002356591062,0.0003340872163469194,2.4950672972910088e-05
77100,0.9444892315133088,0.9445261738755598,0.0011401256422696876,0.0027711885187728475
78100,0.9445032834587395,0.9444952649169674,0.0003476398877137006,0.000501332242727238
79100,0.9444293301850595,0.9445483590405841,0.007482246155693717,0.005120067822561086
80100,0.9444922382754866,0.9445110534343704,0.000821781314287375,0.0011702947983436853
81100,0.9445125399184423,0.9444849505636218,0.001327677971656992,0.0015933760061620492
82100,0.944551578857799,0.9444813127970602,0.005460969592264643,0.001978528633123221
83100,0.9444820214053218,0.9445083683913249,0.0019035039362864116,0.0008860128454100317
84100,0.944472120910245,0.9444961471933565,0.002951729989940672,0.00040792023753315274
85100,0.9444827999900669,0.9445122378108566,0.0018210704005404855,0.0012956919911672423
86100,0.9445311968207136,0.94450806394755,0.003302998487413371,0.0008537795182679755
87100,0.9445111393064001,0.9444987661432174,0.0011793865960895002,0.00013063597486863028
88100,0.9444821519252463,0.9444857353973802,0.001889684992449996,0.0015102808491025378
89100,0.9445171951059873,0.9444746253542475,0.0018205511897617678,0.0026865691638405446
90100,0.9445032341220759,0.9444925622150878,0.0003424163129617312,0.0007874838445939467
91100,0.9445320926402868,0.9445141868789478,0.0033978443924623757,0.0015020517679015936
92100,0.9444768665640355,0.9445035273143608,0.0024492785563255946,0.0003734583759468844
93100,0.9444892613068824,0.9444795862802765,0.0011369712141481188,0.0021613255398094146
94100,0.9444872176395226,0.9445028227684178,0.0013533467948559721,0.00029886378166090843
95100,0.9444525422762333,0.9445062473860595,0.005024639890596741,0.0006614490269430328
96100,0.9445095522670021,0.9444857442349,0.0010113570145108904,0.0015093451667609781
97100,0.9445083776623653,0.9445024666367087,0.0008869944272395547,0.00026115793633293147
98100,0.944500163260106,0.944500929230676,1.7285347378482894e-05,9.83833431404107e-05
99100,0.9444925480941192,0.9444818461759572,0.0007889789180313885,0.0019220565423821274
